Rank,Artist,Song,Released,Decade,Artist ID,Genres,Popularity
38,Otis Redding,(Sittin' On) the Dock of the Bay,1967,1960-1969,60df5JBRRPcnSpsIMxxwQm,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",71
68,Chic,Good Times,1979,1970-1979,3iDD7bnsjL9J4fO298r0L0,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",70
19,John Lennon,Imagine,1971,1970-1979,4x1nvY2FN8jxqAFA0DA02H,"classic rock, rock",69
40,Jimi Hendrix,All Along the Watchtower,1968,1960-1969,776Uo845nYHJpNaStv1Ds4,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",69
28,Talking Heads,Once in a Lifetime,1980,1980-1989,2x9SpqnPi8rlE9pjHBwmSC,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",69
43,The Temptations,My Girl,1965,1960-1969,3RwQ26hR2tJtA8F9p2n7jG,"classic soul, disco, memphis soul, motown, soul",68
3,Sam Cooke,A Change Is Gonna Come,1964,1960-1969,6hnWRPzGGKiapVX1UCdEAC,"classic soul, soul, vocal jazz",68
46,M.I.A.,Paper Planes,2008,2000-2009,0QJIPDAEDILuo8AIq3pMuU,"escape room, indietronica, new rave",67
33,Chuck Berry,Johnny B. Goode,1958,1960-1969,293zczrfYafIItmnmM3coR,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul",66
64,Ramones,Blitzkrieg Bop,1976,1970-1979,1co4F2pPNH8JjTutZkmgSm,"alternative rock, early us punk, permanent wave, punk, rock",66
14,The Kinks,Waterloo Sunset,1967,1960-1969,1SQRv42e4PjEYfPhS0Tk9E,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter",65
84,Al Green,Let's Stay Together,1971,1970-1979,3dkbV4qihUeMsqN4vBGg93,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul",65
20,Robyn,Dancing on My Own,2010,2010-2024,6UE7nl9mha6s8z0wFQFIZ2,"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop",64
78,Four Tops,Reach Out (I'll Be There),1967,1960-1969,7fIvjotigTGWqjIz6EP1i4,"classic soul, disco, motown, quiet storm, soul",64
74,Leonard Cohen,Hallelujah,1984,1980-1989,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, melancholia, permanent wave, singer-songwriter",64
52,Donna Summer,I Feel Love,1977,1970-1979,2eogQKWWoohI3BSnoG7E2U,"disco, hi-nrg, new wave pop, soft rock",63
