song,performer,song_id,time_on_chart,chart_debut,Artist ID,Genres,Popularity
Pompeii,Bastille,PompeiiBastille,53,2013-08-31,7EQ0qTo7fWT7DPxmxtSYEc,"metropopolis, modern rock, pop",74
Cruise,Florida Georgia Line Featuring Nelly,CruiseFlorida Georgia Line Featuring Nelly,54,2012-09-01,3b8QkneNDz4JHKKKlLgYZg,"contemporary country, country, country pop, country road, modern country rock",73
Higher,Creed,HigherCreed,57,1999-09-11,43sZBwHjahUvgbx1WNIkIz,"alternative metal, nu metal, post-grunge, rock",72
Somebody That I Used To Know,Gotye Featuring Kimbra,Somebody That I Used To KnowGotye Featuring Kimbra,59,2012-01-21,6hk7Yq1DU9QcCCrz9uc0Ti,"bergen indie, electropop, nz pop",72
Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,53,2014-11-22,6DIS6PRrLS3wbnZsf7vYic,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock",71
Kryptonite,3 Doors Down,Kryptonite3 Doors Down,53,2000-04-08,2RTUTCvo6onsAnheUk3aL9,"alternative metal, nu metal, post-grunge, rock",71
I'm Yours,Jason Mraz,I'm YoursJason Mraz,76,2008-05-03,4phGZZrJZRo4ElhRtViYdl,"acoustic pop, dance pop, neo mellow, pop",71
Before He Cheats,Carrie Underwood,Before He CheatsCarrie Underwood,64,2006-09-16,4xFUf1FHVy696Q1JQZMTRj,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",70
Trap Queen,Fetty Wap,Trap QueenFetty Wap,52,2015-02-07,6PXS4YHDkKvl1wkIl4V8DL,"new jersey rap, pop rap, rap, southern hip hop, trap",70
How To Save A Life,The Fray,How To Save A LifeThe Fray,58,2006-04-15,0zOcE3mg9nS6l3yxt1Y0bK,"neo mellow, piano rock, pop, pop rock",70
Mood,24kGoldn Featuring iann dior,Mood24kGoldn Featuring iann dior,52,2020-08-22,6fWVd57NKTalqvmjRd2t8Z,"cali rap, pop rap",70
The Bones,Maren Morris,The BonesMaren Morris,52,2019-09-14,6WY7D3jk8zTrHtmkqqo5GI,"classic texas country, contemporary country",70
Unwell,matchbox twenty,Unwellmatchbox twenty,54,2003-03-22,3Ngh2zDBRPEriyxQDAMKd1,"neo mellow, pop rock, post-grunge",68
Some Nights,fun.,Some Nightsfun.,56,2012-03-10,5nCi3BB41mBaMH9gfr6Su0,"baroque pop, metropopolis, neo mellow",67
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,68,2011-02-12,3sgFRtyBnxXD5ESfmbK4dl,"dance pop, pop, pop rap",67
Need You Now,Lady Antebellum,Need You NowLady Antebellum,60,2009-08-29,32WkQRZEVKSzVAAYqukAEA,"contemporary country, country, country dawn, country pop, country road",66
